Code,Ticker,Open,High,Low,Close,Volume,PrevClose,CompanyName,Market,Sector17,変動率(%),前日比(%),振れ幅(%),レンジ位置,上ヒゲ比,VWAP,売買代金(百万円),終値/VWAP,全体順位,セクター内順位,セクター銘柄数,セクター内%,vsセクター
1945,1945.T,1916.0,1954.0,1901.0,1939.0,398100.0,1901.0,東京エネシス,プライム（内国株式）,建設・資材,1.2,2.0,2.77,0.717,0.283,1931.0,768.7,1.004,1778,172,281,0.612,-0.76
1946,1946.T,2311.0,2397.0,2311.0,2397.0,202200.0,2320.0,トーエネック,プライム（内国株式）,建設・資材,3.72,3.32,3.72,1.0,0.0,2368.0,478.8,1.012,407,50,281,0.178,1.76
1948,1948.T,6800.0,6960.0,6800.0,6910.0,25700.0,6840.0,弘電社,スタンダード（内国株式）,建設・資材,1.62,1.02,2.35,0.688,0.312,6890.0,177.1,1.003,1460,153,281,0.544,-0.34
1949,1949.T,9720.0,9730.0,9710.0,9710.0,19100.0,9710.0,住友電設,プライム（内国株式）,建設・資材,-0.1,0.0,0.21,0.0,1.0,9717.0,185.6,0.999,3164,253,281,0.9,-2.06
194A,194A.T,1815.0,1840.0,1764.0,1793.0,28300.0,1800.0,ＷＯＬＶＥＳ　ＨＡＮＤ,グロース（内国株式）,情報通信・サービスその他,-1.21,-0.39,4.19,0.382,0.618,1799.0,50.9,0.997,3607,1177,1256,0.937,-2.23
1950,1950.T,5120.0,5330.0,5110.0,5300.0,323500.0,5090.0,日本電設工業,プライム（内国株式）,建設・資材,3.52,4.13,4.3,0.864,0.136,5247.0,1697.4,1.01,456,55,281,0.196,1.56
1951,1951.T,2932.0,3003.0,2929.5,2993.0,514800.0,2926.5,エクシオグループ,プライム（内国株式）,建設・資材,2.08,2.27,2.51,0.864,0.136,2975.0,1531.5,1.006,1116,123,281,0.438,0.12
1952,1952.T,4070.0,4200.0,4050.0,4185.0,176900.0,4045.0,新日本空調,プライム（内国株式）,建設・資材,2.83,3.46,3.69,0.9,0.1,4145.0,733.3,1.01,693,90,281,0.32,0.87
1959,1959.T,10305.0,10580.0,10250.0,10565.0,278000.0,10190.0,クラフティア,プライム（内国株式）,建設・資材,2.52,3.68,3.2,0.955,0.045,10465.0,2909.3,1.01,862,108,281,0.384,0.56
195A,195A.T,1268.0,1459.0,1233.0,1334.0,835000.0,1408.0,ＭＵＳＣＡＴ　ＧＲＯＵＰ,グロース（内国株式）,情報通信・サービスその他,5.21,-5.26,17.82,0.447,0.553,1342.0,1120.6,0.994,168,34,1256,0.027,4.19
1960,1960.T,1510.0,1547.0,1500.0,1538.0,33300.0,1508.0,サンテック,スタンダード（内国株式）,建設・資材,1.85,1.99,3.11,0.809,0.191,1528.0,50.9,1.007,1276,137,281,0.488,-0.11
1961,1961.T,7660.0,7880.0,7650.0,7880.0,205200.0,7700.0,三機工業,プライム（内国株式）,建設・資材,2.87,2.34,3.0,1.0,0.0,7803.0,1601.2,1.01,679,82,281,0.292,0.91
1963,1963.T,2388.0,2489.5,2364.5,2477.0,2839500.0,2293.0,日揮ホールディングス,プライム（内国株式）,建設・資材,3.73,8.02,5.23,0.9,0.1,2444.0,6939.7,1.014,403,49,281,0.174,1.77
1964,1964.T,4975.0,5170.0,4965.0,5170.0,51200.0,4975.0,中外炉工業,プライム（内国株式）,建設・資材,3.92,3.92,4.12,1.0,0.0,5102.0,261.2,1.013,364,43,281,0.153,1.96
1965,1965.T,7660.0,8030.0,7660.0,7740.0,443100.0,7510.0,テクノ菱和,スタンダード（内国株式）,建設・資材,1.04,3.06,4.83,0.216,0.784,7810.0,3460.6,0.991,1910,182,281,0.648,-0.92
1966,1966.T,1875.0,1922.0,1874.0,1917.0,12900.0,1882.0,高田工業所,スタンダード（内国株式）,建設・資材,2.24,1.86,2.56,0.896,0.104,1904.0,24.6,1.007,1027,119,281,0.423,0.28
1967,1967.T,2419.0,2529.0,2419.0,2523.0,40700.0,2439.0,ヤマト,スタンダード（内国株式）,建設・資材,4.3,3.44,4.55,0.945,0.055,2490.0,101.3,1.013,291,30,281,0.107,2.34
1968,1968.T,2965.0,3155.0,2949.0,3135.0,328000.0,2965.0,太平電業,プライム（内国株式）,建設・資材,5.73,5.73,6.95,0.903,0.097,3080.0,1010.2,1.018,127,10,281,0.036,3.77
1969,1969.T,5049.0,5250.0,5005.0,5240.0,1537700.0,4997.0,高砂熱学工業,プライム（内国株式）,建設・資材,3.78,4.86,4.85,0.959,0.041,5165.0,7942.2,1.015,387,47,281,0.167,1.82
196A,196A.T,278.0,288.0,277.0,287.0,59500.0,279.0,ＭＦＳ,グロース（内国株式）,金融（除く銀行）,3.24,2.87,3.96,0.909,0.091,284.0,16.9,1.011,552,12,90,0.133,1.78
1972,1972.T,1470.0,1498.0,1470.0,1493.0,35300.0,1476.0,三晃金属工業,スタンダード（内国株式）,建設・資材,1.56,1.15,1.9,0.821,0.179,1487.0,52.5,1.004,1497,158,281,0.562,-0.4
1975,1975.T,4660.0,4795.0,4640.0,4780.0,93100.0,4660.0,朝日工業社,プライム（内国株式）,建設・資材,2.58,2.58,3.33,0.903,0.097,4738.0,441.1,1.009,821,104,281,0.37,0.62
1976,1976.T,1990.0,2049.0,1981.0,2031.0,77400.0,1990.0,明星工業,プライム（内国株式）,建設・資材,2.06,2.06,3.42,0.735,0.265,2020.0,156.3,1.005,1128,125,281,0.445,0.1
1979,1979.T,3800.0,3960.0,3790.0,3925.0,243100.0,3780.0,大氣社,プライム（内国株式）,建設・資材,3.29,3.84,4.47,0.794,0.206,3892.0,946.1,1.008,531,63,281,0.224,1.33
197A,197A.T,538.0,548.0,535.0,548.0,508700.0,539.0,タウンズ,スタンダード（内国株式）,医薬品,1.86,1.67,2.42,1.0,0.0,544.0,276.7,1.007,1269,52,79,0.658,-1.57
